timestamp,open,high,low,close
1788847200000,78552.9,78599.9,78225.8,78289.4
1788843600000,78650.1,78850,78512.2,78552.9
1788840000000,78880.1,78904.7,78650,78650.1
1788836400000,78898.9,78976.6,78690,78880.1
1788832800000,79409,79457.6,78897.2,78898.9
1788829200000,79286.9,79439.7,79227.4,79409
1788825600000,79076,79286.9,78938,79286.9
1788822000000,78916.3,79180.7,78895.3,79076
1788818400000,79129.2,79187.9,78753.6,78916.3
1788814800000,79206.9,79246.4,79129.2,79129.2
1788811200000,79325.3,79365,79131,79206.9
1788807600000,79158.6,79379.2,79110,79325.3
1788804000000,79153.5,79212.3,79056.7,79158.6
1788800400000,78989.4,79185,78974.6,79153.5
1788796800000,78782.2,78996.8,78766,78989.4
1788793200000,79152.8,79152.3,78636.5,78782.2
1788789600000,79314.5,79359.5,78913.1,79152.8
1788786000000,79567.5,79613.8,79268.6,79314.5
1788782400000,79376.8,79601.8,79364.8,79567.5
1788778800000,79325.6,79450,79238.6,79376.8
1788775200000,79278.5,79418.9,79278.5,79325.6
1788771600000,79395,79517.5,79260.1,79278.5
1788768000000,79355.3,79494.5,79355.3,79395
1788764400000,79617.2,79655.1,78955.4,79355.3
1788760800000,79717.8,79786.8,79609.6,79617.2
1788757200000,79685.9,79892.9,79620.7,79717.8
1788753600000,79560.1,79694.9,79500.8,79685.9
1788750000000,79842.8,79953.4,79535.4,79560.1
1788746400000,79886.9,80409.5,79755.1,79842.8
1788742800000,80122,80205.8,79783.8,79886.9
1788739200000,80301,80404.9,80020,80122
1788735600000,80005.3,80524.6,79964.3,80301
1788732000000,79902.7,80058,79599.6,80005.3
1788728400000,79873.2,79997,79831.4,79902.7
1788724800000,79804.8,79936.1,79737.2,79873.2
1788721200000,79912.1,79912.1,79763,79804.8
1788717600000,79708,79940,79708,79912.1
1788714000000,79649.9,79743.1,79542.6,79708
1788710400000,79677.9,79756.3,79566.5,79649.9
1788706800000,79507.4,79695.1,79341.6,79677.9
1788703200000,79794.3,79815.8,79183,79507.4
1788699600000,79881.9,79936.9,79719.8,79794.3
1788696000000,79878.4,79973.6,79814.9,79881.9
1788692400000,79964.3,79968,79844.5,79878.4
1788688800000,79851.9,79997.9,79851.9,79964.3
1788685200000,79809.7,79961.9,79765.6,79851.9
1788681600000,79766.3,79856,79715.9,79809.7
1788678000000,79737.9,79832.3,79538.7,79766.3
1788674400000,79959.9,79960,79648.9,79737.9
1788670800000,79824.2,80085.3,79753.5,79959.9
1788667200000,79991.1,79991.1,79804.9,79824.2
